zip,ZCTA,total,rural,distance_from_shands,median_income,perc_below_poverty,prop_black,prop_hisp
3874,3874,8817,0,1112.335068,51871,12.3,0.000907338,0.018260179
53119,53119,5665,1,972.9273909,78906,3.9,0.011473963,0.010944395
3444,3444,1642,1,1076.374195,62500,6,0,0.008526188
97466,97466,1037,1,2466.57998,31154,27.2,0,0.052073288
14204,14204,8905,0,932.5451592,25199,32.5,0.766647951,0.065918024
14227,14227,22950,0,933.7312165,49943,7.7,0.048453159,0.033638344
53154,53154,34823,0,962.5782287,64570,7.4,0.022197973,0.084685409
14525,14525,2772,1,943.0659474,61466,12.8,0.008658009,0
5201,5201,14445,0,1044.018868,37076,22.8,0.008930426,0.025129803
3443,3443,787,1,1062.997878,69450,1.9,0,0
14276,14206,21670,0,932.8726795,33971,24.1,0.138486387,0.059390863
